study_id,outcome_id,title,year,authors,outcome_name,outcome_dimension,blooms_level,n_treatment,n_control,m_treatment,sd_treatment,m_control,sd_control,hedges_g,se_g,ci_lower,ci_upper,cohens_d,t_value,f_value,p_value,eta_squared,effect_source,extraction_method,effect_direction,flag,study_design,genai_tool,measure_type,measure_instrument,source,reliability,review_needed,extraction_status,age_mean,age_sd,age_min,age_max,age_text,gpa_mean,gpa_sd,gpa_text,gender_female_n,gender_male_n,gender_female_pct,gender_male_pct,gender_other_pct,gender_text,screening_source,effect_type,effect_value,outcome_type,doi,note,confidence,meta_pdf_path,age_mean_control,age_mean_treatment,age_sd_control,age_sd_treatment,baseline_age_p,baseline_age_t,baseline_gender_chi2,baseline_gender_p,baseline_gpa_p,baseline_gpa_t,extraction_confidence,gender_female_n_control,gender_female_n_treatment,gender_male_n_control,gender_male_n_treatment,gpa_mean_control,gpa_mean_treatment,gpa_sd_control,gpa_sd_treatment,grade_level_control,grade_level_treatment,group_label_control,group_label_treatment,notes,program_type_control,program_type_treatment
11,011_04,Effects of artificial intelligence based physiotherapy educational approach in developing clinical reasoning skills: a randomized controlled trial,2025.0,not_reported,internet addiction,behavioral,not_reported,20.0,20.0,,,,,,,,,,,,> .05,,insufficient_data,not_reported,not_reported,not_reported,RCT,ChatGPT,gain_score,Internet Addiction Test,Semantic Scholar,not_reported,Yes,not_found,,,,,not_reported,,,not_reported,,,,,,not_reported,rag_screening,,,,10.1186/s12909-025-07926-w,RCT with ChatGPT intervention in physiotherapy undergraduates measuring quantitative outcomes,high,/Volumes/External SSD/Projects/Research/GenAI_Effectiveness/ScholaRAG/projects/2025-12-05_GenAI-Learning-Effects-Meta/data/07_meta_analysis/pdfs/011_Unknown_2025_Effects_of_artificial_intelligence_based.pdf,22.4,22.85,2.74,1.53,0.525,,,0.751,,,high,12.0,10.0,8.0,10.0,,,,,2nd year,2nd year,PBLG,AI-PBLG,Table 2 baseline demographics shows comparable groups at baseline (p>0.20). Study involved 2nd year undergraduate physiotherapy students.,undergraduate,undergraduate
11,011_05,Effects of artificial intelligence based physiotherapy educational approach in developing clinical reasoning skills: a randomized controlled trial,2025.0,not_reported,reading motivation,affective,not_reported,20.0,20.0,,,,,1.284,,,,1.31,,,< .001,,from_cohens_d,not_reported,positive,not_reported,RCT,ChatGPT,gain_score,Adult Reading Motivation Scale,Semantic Scholar,not_reported,not_reported,not_reported,,,,,not_reported,,,not_reported,,,,,,not_reported,rag_screening,,,,10.1186/s12909-025-07926-w,RCT with ChatGPT intervention in physiotherapy undergraduates measuring quantitative outcomes,high,/Volumes/External SSD/Projects/Research/GenAI_Effectiveness/ScholaRAG/projects/2025-12-05_GenAI-Learning-Effects-Meta/data/07_meta_analysis/pdfs/011_Unknown_2025_Effects_of_artificial_intelligence_based.pdf,22.4,22.85,2.74,1.53,0.525,,,0.751,,,high,12.0,10.0,8.0,10.0,,,,,2nd year,2nd year,PBLG,AI-PBLG,Table 2 baseline demographics shows comparable groups at baseline (p>0.20). Study involved 2nd year undergraduate physiotherapy students.,undergraduate,undergraduate
12,012_01,Enhancing Critical Writing Through AI Feedback: A Randomized Control Study,2025.0,Kai Zhang,overall writing score,cognitive,create,125.0,134.0,0.149,0.001,0.087,3.116,0.0276,0.1244,-0.2162,0.2713,0.0277,,,< .001,,insufficient_data,local_ocr,positive,not_reported,RCT,ChatGPT,pre-post_change,comprehensive multi-dimensional rubric,Semantic Scholar,not_reported,not_reported,partial,22.24,1.1,,,"ion (control = 49%, intervention = 55%; p = 0.283), age (control = 22.24, SD = 1.10; intervention = 22.01, SD = 1.18; p = 0.108), house-",,,not_reported,,,,,,not_reported,supplementary_search,,,,10.3390/bs15050600,Added from Elicit supplementary search (2026-01-04),pending_review,/Volumes/External SSD/Projects/Research/GenAI_Effectiveness/ScholaRAG/projects/2025-12-05_GenAI-Learning-Effects-Meta/data/07_meta_analysis/pdfs/012_Kai_2025_Enhancing_Critical_Writing_Through_AI_Fe.pdf,22.24,22.01,1.1,1.18,0.108,,,0.283,,,high,68.0,56.0,66.0,69.0,,,,,third-year undergraduates,third-year undergraduates,Control,Treatment,"Table 2 shows baseline characteristics. Gender reported as proportion male (0.49 control, 0.55 treatment). Also includes PSS stress scores and household income data.",undergraduate,undergraduate
12,012_02,Enhancing Critical Writing Through AI Feedback: A Randomized Control Study,2025.0,Kai Zhang,content score,cognitive,create,125.0,134.0,0.067,0.062,0.004,0.017,1.4031,0.1388,1.1311,1.6751,1.4072,,,< .001,,insufficient_data,local_ocr,positive,not_reported,RCT,ChatGPT,pre-post_change,comprehensive multi-dimensional rubric,Semantic Scholar,not_reported,not_reported,partial,22.24,1.1,,,"ion (control = 49%, intervention = 55%; p = 0.283), age (control = 22.24, SD = 1.10; intervention = 22.01, SD = 1.18; p = 0.108), house-",,,not_reported,,,,,,not_reported,supplementary_search,,,,10.3390/bs15050600,Added from Elicit supplementary search (2026-01-04),pending_review,/Volumes/External SSD/Projects/Research/GenAI_Effectiveness/ScholaRAG/projects/2025-12-05_GenAI-Learning-Effects-Meta/data/07_meta_analysis/pdfs/012_Kai_2025_Enhancing_Critical_Writing_Through_AI_Fe.pdf,22.24,22.01,1.1,1.18,0.108,,,0.283,,,high,68.0,56.0,66.0,69.0,,,,,third-year undergraduates,third-year undergraduates,Control,Treatment,"Table 2 shows baseline characteristics. Gender reported as proportion male (0.49 control, 0.55 treatment). Also includes PSS stress scores and household income data.",undergraduate,undergraduate
12,012_03,Enhancing Critical Writing Through AI Feedback: A Randomized Control Study,2025.0,Kai Zhang,organization score,cognitive,create,125.0,134.0,0.311,0.001,8.0,0.191,-55.7958,2.4547,-60.6069,-50.9846,-55.9592,,,< .001,,insufficient_data,local_ocr,positive,not_reported,RCT,ChatGPT,pre-post_change,comprehensive multi-dimensional rubric,Semantic Scholar,not_reported,not_reported,partial,22.24,1.1,,,"ion (control = 49%, intervention = 55%; p = 0.283), age (control = 22.24, SD = 1.10; intervention = 22.01, SD = 1.18; p = 0.108), house-",,,not_reported,,,,,,not_reported,supplementary_search,,,,10.3390/bs15050600,Added from Elicit supplementary search (2026-01-04),pending_review,/Volumes/External SSD/Projects/Research/GenAI_Effectiveness/ScholaRAG/projects/2025-12-05_GenAI-Learning-Effects-Meta/data/07_meta_analysis/pdfs/012_Kai_2025_Enhancing_Critical_Writing_Through_AI_Fe.pdf,22.24,22.01,1.1,1.18,0.108,,,0.283,,,high,68.0,56.0,66.0,69.0,,,,,third-year undergraduates,third-year undergraduates,Control,Treatment,"Table 2 shows baseline characteristics. Gender reported as proportion male (0.49 control, 0.55 treatment). Also includes PSS stress scores and household income data.",undergraduate,undergraduate
12,012_04,Enhancing Critical Writing Through AI Feedback: A Randomized Control Study,2025.0,Kai Zhang,language usage score,cognitive,apply,125.0,134.0,,,,,,,,,,,,< .05,,insufficient_data,table_ocr,positive,not_reported,RCT,ChatGPT,pre-post_change,comprehensive multi-dimensional rubric,Semantic Scholar,not_reported,Yes,partial,22.24,1.1,,,"ion (control = 49%, intervention = 55%; p = 0.283), age (control = 22.24, SD = 1.10; intervention = 22.01, SD = 1.18; p = 0.108), house-",,,not_reported,,,,,,not_reported,supplementary_search,,,,10.3390/bs15050600,Added from Elicit supplementary search (2026-01-04),pending_review,/Volumes/External SSD/Projects/Research/GenAI_Effectiveness/ScholaRAG/projects/2025-12-05_GenAI-Learning-Effects-Meta/data/07_meta_analysis/pdfs/012_Kai_2025_Enhancing_Critical_Writing_Through_AI_Fe.pdf,22.24,22.01,1.1,1.18,0.108,,,0.283,,,high,68.0,56.0,66.0,69.0,,,,,third-year undergraduates,third-year undergraduates,Control,Treatment,"Table 2 shows baseline characteristics. Gender reported as proportion male (0.49 control, 0.55 treatment). Also includes PSS stress scores and household income data.",undergraduate,undergraduate
12,012_05,Enhancing Critical Writing Through AI Feedback: A Randomized Control Study,2025.0,Kai Zhang,writing motivation score,affective,not_reported,125.0,134.0,8.0,0.077,0.044,0.05,123.0742,5.409,112.4726,133.6758,123.4348,,,< .05,,insufficient_data,local_ocr,positive,not_reported,RCT,ChatGPT,pre-post_change,writing motivation scale,Semantic Scholar,not_reported,not_reported,partial,22.24,1.1,,,"ion (control = 49%, intervention = 55%; p = 0.283), age (control = 22.24, SD = 1.10; intervention = 22.01, SD = 1.18; p = 0.108), house-",,,not_reported,,,,,,not_reported,supplementary_search,,,,10.3390/bs15050600,Added from Elicit supplementary search (2026-01-04),pending_review,/Volumes/External SSD/Projects/Research/GenAI_Effectiveness/ScholaRAG/projects/2025-12-05_GenAI-Learning-Effects-Meta/data/07_meta_analysis/pdfs/012_Kai_2025_Enhancing_Critical_Writing_Through_AI_Fe.pdf,22.24,22.01,1.1,1.18,0.108,,,0.283,,,high,68.0,56.0,66.0,69.0,,,,,third-year undergraduates,third-year undergraduates,Control,Treatment,"Table 2 shows baseline characteristics. Gender reported as proportion male (0.49 control, 0.55 treatment). Also includes PSS stress scores and household income data.",undergraduate,undergraduate
12,012_06,Enhancing Critical Writing Through AI Feedback: A Randomized Control Study,2025.0,Kai Zhang,perceived usefulness,affective,not_reported,125.0,134.0,,,,,,,,,,,,,,insufficient_data,not_reported,not_reported,not_reported,RCT,ChatGPT,post-test,technology acceptance model,Semantic Scholar,0.78,Yes,not_found,22.24,1.1,,,"ion (control = 49%, intervention = 55%; p = 0.283), age (control = 22.24, SD = 1.10; intervention = 22.01, SD = 1.18; p = 0.108), house-",,,not_reported,,,,,,not_reported,supplementary_search,,,,10.3390/bs15050600,Added from Elicit supplementary search (2026-01-04),pending_review,/Volumes/External SSD/Projects/Research/GenAI_Effectiveness/ScholaRAG/projects/2025-12-05_GenAI-Learning-Effects-Meta/data/07_meta_analysis/pdfs/012_Kai_2025_Enhancing_Critical_Writing_Through_AI_Fe.pdf,22.24,22.01,1.1,1.18,0.108,,,0.283,,,high,68.0,56.0,66.0,69.0,,,,,third-year undergraduates,third-year undergraduates,Control,Treatment,"Table 2 shows baseline characteristics. Gender reported as proportion male (0.49 control, 0.55 treatment). Also includes PSS stress scores and household income data.",undergraduate,undergraduate
12,012_07,Enhancing Critical Writing Through AI Feedback: A Randomized Control Study,2025.0,Kai Zhang,perceived ease of use,affective,not_reported,125.0,134.0,,,,,,,,,,,,,,insufficient_data,not_reported,not_reported,not_reported,RCT,ChatGPT,post-test,technology acceptance model,Semantic Scholar,0.71,Yes,not_found,22.24,1.1,,,"ion (control = 49%, intervention = 55%; p = 0.283), age (control = 22.24, SD = 1.10; intervention = 22.01, SD = 1.18; p = 0.108), house-",,,not_reported,,,,,,not_reported,supplementary_search,,,,10.3390/bs15050600,Added from Elicit supplementary search (2026-01-04),pending_review,/Volumes/External SSD/Projects/Research/GenAI_Effectiveness/ScholaRAG/projects/2025-12-05_GenAI-Learning-Effects-Meta/data/07_meta_analysis/pdfs/012_Kai_2025_Enhancing_Critical_Writing_Through_AI_Fe.pdf,22.24,22.01,1.1,1.18,0.108,,,0.283,,,high,68.0,56.0,66.0,69.0,,,,,third-year undergraduates,third-year undergraduates,Control,Treatment,"Table 2 shows baseline characteristics. Gender reported as proportion male (0.49 control, 0.55 treatment). Also includes PSS stress scores and household income data.",undergraduate,undergraduate
12,012_08,Enhancing Critical Writing Through AI Feedback: A Randomized Control Study,2025.0,Kai Zhang,attitude toward use,affective,not_reported,125.0,134.0,,,,,,,,,,,,,,insufficient_data,not_reported,not_reported,not_reported,RCT,ChatGPT,post-test,technology acceptance model,Semantic Scholar,0.75,Yes,not_found,22.24,1.1,,,"ion (control = 49%, intervention = 55%; p = 0.283), age (control = 22.24, SD = 1.10; intervention = 22.01, SD = 1.18; p = 0.108), house-",,,not_reported,,,,,,not_reported,supplementary_search,,,,10.3390/bs15050600,Added from Elicit supplementary search (2026-01-04),pending_review,/Volumes/External SSD/Projects/Research/GenAI_Effectiveness/ScholaRAG/projects/2025-12-05_GenAI-Learning-Effects-Meta/data/07_meta_analysis/pdfs/012_Kai_2025_Enhancing_Critical_Writing_Through_AI_Fe.pdf,22.24,22.01,1.1,1.18,0.108,,,0.283,,,high,68.0,56.0,66.0,69.0,,,,,third-year undergraduates,third-year undergraduates,Control,Treatment,"Table 2 shows baseline characteristics. Gender reported as proportion male (0.49 control, 0.55 treatment). Also includes PSS stress scores and household income data.",undergraduate,undergraduate
12,012_09,Enhancing Critical Writing Through AI Feedback: A Randomized Control Study,2025.0,Kai Zhang,perceived stress,affective,not_reported,125.0,134.0,24.97,5.54,24.6,5.56,0.0665,0.1244,-0.1773,0.3103,0.0667,,,0.591,,calculated_M_SD,not_reported,not_reported,not_reported,not_reported,not_reported,post-test,perceived stress scale,Semantic Scholar,0.81,not_reported,not_reported,,,,,not_reported,,,not_reported,,,,,,not_reported,supplementary_search,,,,10.3390/bs15050600,Added from Elicit supplementary search (2026-01-04),pending_review,/Volumes/External SSD/Projects/Research/GenAI_Effectiveness/ScholaRAG/projects/2025-12-05_GenAI-Learning-Effects-Meta/data/07_meta_analysis/pdfs/012_Kai_2025_Enhancing_Critical_Writing_Through_AI_Fe.pdf,22.24,22.01,1.1,1.18,0.108,,,0.283,,,high,68.0,56.0,66.0,69.0,,,,,third-year undergraduates,third-year undergraduates,Control,Treatment,"Table 2 shows baseline characteristics. Gender reported as proportion male (0.49 control, 0.55 treatment). Also includes PSS stress scores and household income data.",undergraduate,undergraduate
12,012_10,Enhancing Critical Writing Through AI Feedback: A Randomized Control Study,2025.0,Kai Zhang,AI engagement,behavioral,not_reported,125.0,134.0,,,,,,,,,,,,,,insufficient_data,not_reported,not_reported,not_reported,RCT,ChatGPT,post-test,system-logged token counts,Semantic Scholar,not_reported,Yes,not_found,22.24,1.1,,,"ion (control = 49%, intervention = 55%; p = 0.283), age (control = 22.24, SD = 1.10; intervention = 22.01, SD = 1.18; p = 0.108), house-",,,not_reported,,,,,,not_reported,supplementary_search,,,,10.3390/bs15050600,Added from Elicit supplementary search (2026-01-04),pending_review,/Volumes/External SSD/Projects/Research/GenAI_Effectiveness/ScholaRAG/projects/2025-12-05_GenAI-Learning-Effects-Meta/data/07_meta_analysis/pdfs/012_Kai_2025_Enhancing_Critical_Writing_Through_AI_Fe.pdf,22.24,22.01,1.1,1.18,0.108,,,0.283,,,high,68.0,56.0,66.0,69.0,,,,,third-year undergraduates,third-year undergraduates,Control,Treatment,"Table 2 shows baseline characteristics. Gender reported as proportion male (0.49 control, 0.55 treatment). Also includes PSS stress scores and household income data.",undergraduate,undergraduate
13,013_01,Enhancing Ophthalmology Students' Awareness of Retinitis Pigmentosa: Assessing the Efficacy of ChatGPT in AI-Assisted Teaching of Rare Diseases,2025.0,Jiamu Zeng; Kexin Sun; Peng Qin; Shulin Liu,post-test scores,cognitive,understand,72.0,70.0,115.42,22.7,110.93,29.01,0.1718,0.1682,-0.1578,0.5013,0.1727,,,0.28,,calculated_M_SD,table_ocr,positive,not_reported,quasi-experimental,ChatGPT,post-test,researcher-developed test,Frontiers in Medicine,not_reported,not_reported,partial,,,,,not_reported,,,not_reported,,,,,,not_reported,supplementary_search,M_SD,,clinical_reasoning,10.3389/fmed.2025.1534294,"43% less review time, better on complex questions (73% vs 61%)",high,/Volumes/External SSD/Projects/Research/GenAI_Effectiveness/ScholaRAG/projects/2025-12-05_GenAI-Learning-Effects-Meta/data/07_meta_analysis/pdfs/013_Jiamu_2025_Enhancing_Ophthalmology_Students_Awarene.pdf,,,,,,,,,,,medium,37.0,33.0,33.0,39.0,,,,,3rd year,3rd year,Control group,ChatGPT group,"Limited demographics reported in text only. Control: 70 participants (47.1% male), Treatment: 72 participants (54.2% male). No formal baseline table found.",medical students,medical students
13,013_02,Enhancing Ophthalmology Students' Awareness of Retinitis Pigmentosa: Assessing the Efficacy of ChatGPT in AI-Assisted Teaching of Rare Diseases,2025.0,Jiamu Zeng; Kexin Sun; Peng Qin; Shulin Liu,review time,behavioral,not_reported,72.0,70.0,24.29,12.62,42.54,20.43,-1.0725,0.1795,-1.4243,-0.7206,-1.0782,,,< 0.0001,,calculated_M_SD,table_ocr,positive,not_reported,quasi-experimental,ChatGPT,post-test,time measurement,Frontiers in Medicine,not_reported,not_reported,partial,,,,,not_reported,,,not_reported,,,,,,not_reported,supplementary_search,M_SD,,clinical_reasoning,10.3389/fmed.2025.1534294,"43% less review time, better on complex questions (73% vs 61%)",high,/Volumes/External SSD/Projects/Research/GenAI_Effectiveness/ScholaRAG/projects/2025-12-05_GenAI-Learning-Effects-Meta/data/07_meta_analysis/pdfs/013_Jiamu_2025_Enhancing_Ophthalmology_Students_Awarene.pdf,,,,,,,,,,,medium,37.0,33.0,33.0,39.0,,,,,3rd year,3rd year,Control group,ChatGPT group,"Limited demographics reported in text only. Control: 70 participants (47.1% male), Treatment: 72 participants (54.2% male). No formal baseline table found.",medical students,medical students
13,013_03,Enhancing Ophthalmology Students' Awareness of Retinitis Pigmentosa: Assessing the Efficacy of ChatGPT in AI-Assisted Teaching of Rare Diseases,2025.0,Jiamu Zeng; Kexin Sun; Peng Qin; Shulin Liu,complex questions performance,cognitive,analyze,72.0,70.0,,,,,,,,,,,,,,insufficient_data,not_reported,positive,not_reported,quasi-experimental,ChatGPT,post-test,researcher-developed test,Frontiers in Medicine,not_reported,Yes,not_found,,,,,not_reported,,,not_reported,,,,,,not_reported,supplementary_search,M_SD,,clinical_reasoning,10.3389/fmed.2025.1534294,"43% less review time, better on complex questions (73% vs 61%)",high,/Volumes/External SSD/Projects/Research/GenAI_Effectiveness/ScholaRAG/projects/2025-12-05_GenAI-Learning-Effects-Meta/data/07_meta_analysis/pdfs/013_Jiamu_2025_Enhancing_Ophthalmology_Students_Awarene.pdf,,,,,,,,,,,medium,37.0,33.0,33.0,39.0,,,,,3rd year,3rd year,Control group,ChatGPT group,"Limited demographics reported in text only. Control: 70 participants (47.1% male), Treatment: 72 participants (54.2% male). No formal baseline table found.",medical students,medical students
14,014_01,Enhancing self‐regulated learning and learning experience in generative AI environments: The critical role of metacognitive support,2025.0,Xiaoqing Xu; Lifang Qiao; Nuo Cheng; Hongxia Liu; Wei Zhao,academic achievement,cognitive,apply,35.0,33.0,35.0,86.91,5.3,86.93,0.3378,0.2444,-0.1412,0.8167,0.3417,-0.041,,0.968,,insufficient_data,local_ocr,not_reported,not_reported,quasi-experimental,ChatGPT,post-test,achievement test,Semantic Scholar,not_reported,not_reported,partial,19.44,0.57,,,"rch. The age range of the students was between 19 and 21 years old, with an average age of 19.44 (SD = 0.57). They were all from the same class, majoring in Educational Technology, and ha",,,not_reported,,,,,,not_reported,supplementary_search,,,,10.1111/bjet.13599,Added from Elicit supplementary search (2026-01-04),pending_review,/Volumes/External SSD/Projects/Research/GenAI_Effectiveness/ScholaRAG/projects/2025-12-05_GenAI-Learning-Effects-Meta/data/07_meta_analysis/pdfs/014_Xiaoqing_2025_Enhancing_selfregulated_learning_and_lea.pdf,19.44,19.44,0.57,0.57,,,,,,,high,19.0,20.0,14.0,15.0,,,,,sophomores,sophomores,CG,EG,"Overall demographics reported: 71 sophomores (32 males, 39 females), age 19-21 years, mean 19.44 (SD=0.57), Educational Technology majors. Final analysis: EG n=35 (20F, 15M), CG n=33 (19F, 14M)",undergraduate,undergraduate
14,014_02,Enhancing self‐regulated learning and learning experience in generative AI environments: The critical role of metacognitive support,2025.0,Xiaoqing Xu; Lifang Qiao; Nuo Cheng; Hongxia Liu; Wei Zhao,goal setting,metacognitive,not_reported,35.0,33.0,5.28,0.95,5.14,0.9,0.1494,0.243,-0.3268,0.6257,0.1512,0.625,,0.534,,calculated_M_SD,table_ocr,not_reported,not_reported,not_reported,not_reported,pre-test,SRL scale,Semantic Scholar,not_reported,not_reported,partial,,,,,not_reported,,,not_reported,,,,,,not_reported,supplementary_search,,,,10.1111/bjet.13599,Added from Elicit supplementary search (2026-01-04),pending_review,/Volumes/External SSD/Projects/Research/GenAI_Effectiveness/ScholaRAG/projects/2025-12-05_GenAI-Learning-Effects-Meta/data/07_meta_analysis/pdfs/014_Xiaoqing_2025_Enhancing_selfregulated_learning_and_lea.pdf,19.44,19.44,0.57,0.57,,,,,,,high,19.0,20.0,14.0,15.0,,,,,sophomores,sophomores,CG,EG,"Overall demographics reported: 71 sophomores (32 males, 39 females), age 19-21 years, mean 19.44 (SD=0.57), Educational Technology majors. Final analysis: EG n=35 (20F, 15M), CG n=33 (19F, 14M)",undergraduate,undergraduate
14,014_03,Enhancing self‐regulated learning and learning experience in generative AI environments: The critical role of metacognitive support,2025.0,Xiaoqing Xu; Lifang Qiao; Nuo Cheng; Hongxia Liu; Wei Zhao,environmental structure,metacognitive,not_reported,35.0,33.0,5.41,0.94,5.45,0.92,-0.0425,0.2427,-0.5181,0.4331,-0.043,-0.178,,0.859,,calculated_M_SD,table_ocr,not_reported,not_reported,not_reported,not_reported,pre-test,SRL scale,Semantic Scholar,not_reported,not_reported,partial,,,,,not_reported,,,not_reported,,,,,,not_reported,supplementary_search,,,,10.1111/bjet.13599,Added from Elicit supplementary search (2026-01-04),pending_review,/Volumes/External SSD/Projects/Research/GenAI_Effectiveness/ScholaRAG/projects/2025-12-05_GenAI-Learning-Effects-Meta/data/07_meta_analysis/pdfs/014_Xiaoqing_2025_Enhancing_selfregulated_learning_and_lea.pdf,19.44,19.44,0.57,0.57,,,,,,,high,19.0,20.0,14.0,15.0,,,,,sophomores,sophomores,CG,EG,"Overall demographics reported: 71 sophomores (32 males, 39 females), age 19-21 years, mean 19.44 (SD=0.57), Educational Technology majors. Final analysis: EG n=35 (20F, 15M), CG n=33 (19F, 14M)",undergraduate,undergraduate
14,014_04,Enhancing self‐regulated learning and learning experience in generative AI environments: The critical role of metacognitive support,2025.0,Xiaoqing Xu; Lifang Qiao; Nuo Cheng; Hongxia Liu; Wei Zhao,task strategy,metacognitive,not_reported,35.0,33.0,4.76,1.11,4.83,0.87,-0.0691,0.2427,-0.5449,0.4066,-0.0699,-0.283,,0.778,,calculated_M_SD,table_ocr,not_reported,not_reported,not_reported,not_reported,pre-test,SRL scale,Semantic Scholar,not_reported,not_reported,partial,,,,,not_reported,,,not_reported,,,,,,not_reported,supplementary_search,,,,10.1111/bjet.13599,Added from Elicit supplementary search (2026-01-04),pending_review,/Volumes/External SSD/Projects/Research/GenAI_Effectiveness/ScholaRAG/projects/2025-12-05_GenAI-Learning-Effects-Meta/data/07_meta_analysis/pdfs/014_Xiaoqing_2025_Enhancing_selfregulated_learning_and_lea.pdf,19.44,19.44,0.57,0.57,,,,,,,high,19.0,20.0,14.0,15.0,,,,,sophomores,sophomores,CG,EG,"Overall demographics reported: 71 sophomores (32 males, 39 females), age 19-21 years, mean 19.44 (SD=0.57), Educational Technology majors. Final analysis: EG n=35 (20F, 15M), CG n=33 (19F, 14M)",undergraduate,undergraduate
14,014_05,Enhancing self‐regulated learning and learning experience in generative AI environments: The critical role of metacognitive support,2025.0,Xiaoqing Xu; Lifang Qiao; Nuo Cheng; Hongxia Liu; Wei Zhao,time management,metacognitive,not_reported,35.0,33.0,4.84,0.99,4.93,0.89,-0.0944,0.2428,-0.5702,0.3815,-0.0955,-0.398,,0.692,,calculated_M_SD,table_ocr,not_reported,not_reported,not_reported,not_reported,pre-test,SRL scale,Semantic Scholar,not_reported,not_reported,partial,,,,,not_reported,,,not_reported,,,,,,not_reported,supplementary_search,,,,10.1111/bjet.13599,Added from Elicit supplementary search (2026-01-04),pending_review,/Volumes/External SSD/Projects/Research/GenAI_Effectiveness/ScholaRAG/projects/2025-12-05_GenAI-Learning-Effects-Meta/data/07_meta_analysis/pdfs/014_Xiaoqing_2025_Enhancing_selfregulated_learning_and_lea.pdf,19.44,19.44,0.57,0.57,,,,,,,high,19.0,20.0,14.0,15.0,,,,,sophomores,sophomores,CG,EG,"Overall demographics reported: 71 sophomores (32 males, 39 females), age 19-21 years, mean 19.44 (SD=0.57), Educational Technology majors. Final analysis: EG n=35 (20F, 15M), CG n=33 (19F, 14M)",undergraduate,undergraduate
14,014_06,Enhancing self‐regulated learning and learning experience in generative AI environments: The critical role of metacognitive support,2025.0,Xiaoqing Xu; Lifang Qiao; Nuo Cheng; Hongxia Liu; Wei Zhao,help seeking,metacognitive,not_reported,35.0,33.0,5.21,0.9,5.02,0.82,0.2179,0.2434,-0.2591,0.6949,0.2204,0.918,,0.362,,calculated_M_SD,table_ocr,not_reported,not_reported,not_reported,not_reported,pre-test,SRL scale,Semantic Scholar,not_reported,not_reported,partial,,,,,not_reported,,,not_reported,,,,,,not_reported,supplementary_search,,,,10.1111/bjet.13599,Added from Elicit supplementary search (2026-01-04),pending_review,/Volumes/External SSD/Projects/Research/GenAI_Effectiveness/ScholaRAG/projects/2025-12-05_GenAI-Learning-Effects-Meta/data/07_meta_analysis/pdfs/014_Xiaoqing_2025_Enhancing_selfregulated_learning_and_lea.pdf,19.44,19.44,0.57,0.57,,,,,,,high,19.0,20.0,14.0,15.0,,,,,sophomores,sophomores,CG,EG,"Overall demographics reported: 71 sophomores (32 males, 39 females), age 19-21 years, mean 19.44 (SD=0.57), Educational Technology majors. Final analysis: EG n=35 (20F, 15M), CG n=33 (19F, 14M)",undergraduate,undergraduate
14,014_07,Enhancing self‐regulated learning and learning experience in generative AI environments: The critical role of metacognitive support,2025.0,Xiaoqing Xu; Lifang Qiao; Nuo Cheng; Hongxia Liu; Wei Zhao,self-evaluation,metacognitive,not_reported,35.0,33.0,5.28,0.9,5.18,0.83,0.1141,0.2428,-0.3619,0.59,0.1154,0.459,,0.648,,calculated_M_SD,table_ocr,not_reported,not_reported,not_reported,not_reported,pre-test,SRL scale,Semantic Scholar,not_reported,not_reported,partial,,,,,not_reported,,,not_reported,,,,,,not_reported,supplementary_search,,,,10.1111/bjet.13599,Added from Elicit supplementary search (2026-01-04),pending_review,/Volumes/External SSD/Projects/Research/GenAI_Effectiveness/ScholaRAG/projects/2025-12-05_GenAI-Learning-Effects-Meta/data/07_meta_analysis/pdfs/014_Xiaoqing_2025_Enhancing_selfregulated_learning_and_lea.pdf,19.44,19.44,0.57,0.57,,,,,,,high,19.0,20.0,14.0,15.0,,,,,sophomores,sophomores,CG,EG,"Overall demographics reported: 71 sophomores (32 males, 39 females), age 19-21 years, mean 19.44 (SD=0.57), Educational Technology majors. Final analysis: EG n=35 (20F, 15M), CG n=33 (19F, 14M)",undergraduate,undergraduate
14,014_08,Enhancing self‐regulated learning and learning experience in generative AI environments: The critical role of metacognitive support,2025.0,Xiaoqing Xu; Lifang Qiao; Nuo Cheng; Hongxia Liu; Wei Zhao,cognitive load,cognitive,not_reported,35.0,33.0,3.69,1.08,4.09,0.52,-0.4646,,,,-0.47,-1.99,,0.052,,insufficient_data,table_ocr,negative,not_reported,quasi-experimental,ChatGPT,post-test,cognitive load scale,Semantic Scholar,not_reported,not_reported,partial,19.44,0.57,,,"rch. The age range of the students was between 19 and 21 years old, with an average age of 19.44 (SD = 0.57). They were all from the same class, majoring in Educational Technology, and ha",,,not_reported,,,,,,not_reported,supplementary_search,,,,10.1111/bjet.13599,Added from Elicit supplementary search (2026-01-04),pending_review,/Volumes/External SSD/Projects/Research/GenAI_Effectiveness/ScholaRAG/projects/2025-12-05_GenAI-Learning-Effects-Meta/data/07_meta_analysis/pdfs/014_Xiaoqing_2025_Enhancing_selfregulated_learning_and_lea.pdf,19.44,19.44,0.57,0.57,,,,,,,high,19.0,20.0,14.0,15.0,,,,,sophomores,sophomores,CG,EG,"Overall demographics reported: 71 sophomores (32 males, 39 females), age 19-21 years, mean 19.44 (SD=0.57), Educational Technology majors. Final analysis: EG n=35 (20F, 15M), CG n=33 (19F, 14M)",undergraduate,undergraduate
